Mods count: 747
 
jar name                                                                            | mod id (isMCreator)                            | mixin configs
bellsandwhistles-0.4.5-1.20.x-Create6.0+.jar                                        | bellsandwhistles                               | 
BetterAdvancements-Forge-1.20.1-0.4.2.25.jar                                        | betteradvancements                             | 
bettercombat-forge-1.8.6+1.20.1.jar                                                 | bettercombat                                   | bettercombat.mixins.json
BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar                                 | bcc                                            | bcc.mixins.json, bcc.forge.mixins.json
BetterF3-7.0.2-Forge-1.20.1.jar                                                     | betterf3                                       | betterf3.mixins.json, betterf3.forge.mixins.json
BetterThirdPerson-Forge-1.20-1.9.0.jar                                              | betterthirdperson                              | betterthirdperson.mixins.json
BiomesOPlenty-1.20.1-18.0.0.592.jar                                                 | biomesoplenty                                  | 
blockui-1.20.1-1.0.194.jar                                                          | blockui                                        | 
blue_skies-1.20.1-1.3.31.jar                                                        | blue_skies                                     | blue_skies.mixins.json
blueprint-1.20.1-7.1.3.jar                                                          | blueprint                                      | blueprint.mixins.json
Bookshelf-Forge-1.20.1-20.2.13.jar                                                  | bookshelf                                      | bookshelf.forge.mixins.json, bookshelf.common.mixins.json
Botania-1.20.1-450-FORGE.jar                                                        | botania                                        | botania_forge.mixins.json, botania_xplat.mixins.json
BotanyPots-Forge-1.20.1-13.0.41.jar                                                 | botanypots                                     | 
botarium-forge-1.20.1-2.3.4.jar                                                     | botarium                                       | 
bots_lib-4.0.jar                                                                    | bots_lib                                       | 
Bountiful-6.0.4+1.20.1-forge.jar                                                    | bountiful                                      | 
BrandonsCore-1.20.1-3.2.1.302-universal.jar                                         | brandonscore                                   | mixins.brandonscore.json, mixins.brandonscore.refmap.json
BridgingMod-2.5.1+1.20.1.forge-release.jar                                          | bridgingmod                                    | bridgingmod.mixins.json
buildinggadgets2-1.0.8.jar                                                          | buildinggadgets2                               | 
cable_facades-1.20.1-Forge-1.3.4.jar                                                | cable_facades                                  | cable_facades.mixins.json
cabletiers-1.20.1-1.2.2.jar                                                         | cabletiers                                     | cabletiers.mixins.json
caelus-forge-3.2.0+1.20.1.jar                                                       | caelus                                         | caelus.mixins.json
CBMultipart-1.20.1-3.3.0.146-universal.jar                                          | cb_multipart                                   | mixins.cbmultipart.json, mixins.cbmultipart.refmap.json
charginggadgets-1.11.0.jar                                                          | charginggadgets                                | 
charmofundying-forge-6.5.0+1.20.1.jar                                               | charmofundying                                 | charmofundying.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.15+1.20.1.jar                            | spectrelib                                     | 
chat_heads-0.14.2-forge-1.20.jar                                                    | chat_heads                                     | chat_heads.forge.mixins.json, chat_heads.mixins.json
ChatImpressiveAnimation-forge-1.4.0+mc1.20.4.jar                                    | chatimpressiveanimation                        | chatimpressiveanimation.mixins.json, chatimpressiveanimation.forge.mixins.json
chatnotify-forge-2.6.2+1.20.1.jar                                                   | chatnotify                                     | chatnotify.forge.mixins.json, chatnotify.mixins.json
chemlib-1.20.1-2.0.19.jar                                                           | chemlib                                        | 
Chimes-v2.0.1-1.20.1.jar                                                            | chimes                                         | 
chipped-forge-1.20.1-3.0.7.jar                                                      | chipped                                        | chipped-common.mixins.json
chunksending-1.20.1-2.8.jar                                                         | chunksending                                   | chunksending.mixins.json
citadel-2.6.2-1.20.1.jar                                                            | citadel                                        | citadel.mixins.json
clickadv-1.20.1-3.8.jar                                                             | clickadv                                       | clickadv.mixins.json
clienttweaks-forge-1.20.1-11.1.5.jar                                                | clienttweaks                                   | clienttweaks.mixins.json
cloth-config-11.1.136-forge.jar                                                     | cloth_config                                   | 
Clumps-forge-1.20.1-12.0.0.4.jar                                                    | clumps                                         | clumps.mixins.json
CodeChickenLib-1.20.1-4.4.0.516-universal.jar                                       | codechickenlib                                 | mixins.codechickenlib.refmap.json, mixins.codechickenlib.json
cofh_core-1.20.1-11.0.2.56.jar                                                      | cofh_core                                      | mixins.cofhcore.json, mixins.cofhcore.refmap.json
collective-1.20.1-8.13.jar                                                          | collective                                     | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json
collectorsreap-1.20.1-1.5.jar                                                       | collectorsreap                                 | 
